Turbo_CulLe_slva_MAX8,startIT=3,K=ITNum-startIT+1,N=304,R=0.75,k0,M=8
snr=1.000000	FER=0.980583
snr=1.500000	FER=0.870690
snr=2.000000	FER=0.594118
snr=2.500000	FER=0.263021
snr=3.000000	FER=0.063763
snr=3.500000	FER=0.008317
snr=4.000000	FER=0.000653
snr=4.500000	FER=0.000035
snr=5.000000	FER=0.000003

